id,first_name,last_name,email,gender,absence_days,extracurricular_activities,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,Full Name,Overall Percentage,Grade,Rank,Strongest Subject,Weakest Subject
20,Angela,Rios,angela.rios.20@gslingacademy.com,female,2,False,99,65,98,75,66,72,100,Angela Rios,82.14285714285714,B,807,Geography,History
21,Tim,Nichols,tim.nichols.21@gslingacademy.com,male,3,False,100,90,72,98,73,97,72,Tim Nichols,86.0,B,380,Math,Physics
22,Kyle,Willis,kyle.willis.22@gslingacademy.com,male,8,False,57,55,78,94,83,88,88,Kyle Willis,77.57142857142857,C,1464,Chemistry,History
23,Shannon,Simpson,shannon.simpson.23@gslingacademy.com,female,9,False,89,72,68,72,71,54,90,Shannon Simpson,73.71428571428571,C,1792,Geography,English
24,Sean,Griffin,sean.griffin.24@gslingacademy.com,male,9,False,50,76,81,55,56,80,79,Sean Griffin,68.14285714285714,D,1941,Physics,Math
25,Cassandra,West,cassandra.west.25@gslingacademy.com,female,4,False,87,91,90,88,95,88,93,Cassandra West,90.28571428571429,A,143,Biology,Math
26,Patricia,Chavez,patricia.chavez.26@gslingacademy.com,female,5,False,92,86,87,81,93,90,99,Patricia Chavez,89.71428571428571,B,164,Geography,Chemistry
27,Jason,Williams,jason.williams.27@gslingacademy.com,male,3,False,100,77,80,94,63,90,90,Jason Williams,84.85714285714286,B,479,Math,Biology
28,Peter,Gibbs,peter.gibbs.28@gslingacademy.com,male,0,False,64,75,93,79,81,96,85,Peter Gibbs,81.85714285714286,B,864,English,Math
29,Jeffrey,Blanchard,jeffrey.blanchard.29@gslingacademy.com,male,1,True,79,65,99,71,76,77,83,Jeffrey Blanchard,78.57142857142857,C,1338,Physics,History
30,Carol,Hill,carol.hill.30@gslingacademy.com,female,3,False,82,100,61,97,30,74,73,Carol Hill,73.85714285714286,C,1781,History,Biology
31,Angie,Miller,angie.miller.31@gslingacademy.com,female,0,False,88,69,87,100,88,85,72,Angie Miller,84.14285714285714,B,548,Chemistry,History
32,Cynthia,Knapp,cynthia.knapp.32@gslingacademy.com,female,4,False,70,68,92,74,82,85,72,Cynthia Knapp,77.57142857142857,C,1464,Physics,History
33,Timothy,Bryant,timothy.bryant.33@gslingacademy.com,male,4,False,77,96,98,89,85,62,62,Timothy Bryant,81.28571428571429,B,957,Physics,English
34,Phyllis,Diaz,phyllis.diaz.34@gslingacademy.com,female,1,False,99,84,84,78,78,77,68,Phyllis Diaz,81.14285714285714,B,975,Math,Geography
35,Lisa,Burns,lisa.burns.35@gslingacademy.com,female,3,True,90,93,91,80,86,69,62,Lisa Burns,81.57142857142857,B,915,History,Geography
36,Kelly,Farley,kelly.farley.36@gslingacademy.com,female,1,False,65,70,78,98,80,66,65,Kelly Farley,74.57142857142857,C,1739,Chemistry,Math
37,Ryan,Lee,ryan.lee.37@gslingacademy.com,male,2,True,99,94,87,71,89,91,96,Ryan Lee,89.57142857142857,B,168,Math,Chemistry
38,Michael,Gilmore,michael.gilmore.38@gslingacademy.com,male,1,False,92,100,85,89,81,91,88,Michael Gilmore,89.42857142857143,B,179,History,Biology
39,Miguel,Martinez,miguel.martinez.39@gslingacademy.com,male,4,False,77,64,64,88,94,82,78,Miguel Martinez,78.14285714285714,C,1388,Biology,History
40,Christopher,Taylor,christopher.taylor.40@gslingacademy.com,male,4,False,92,60,66,87,60,83,95,Christopher Taylor,77.57142857142857,C,1464,Geography,History
41,Emily,Holloway,emily.holloway.41@gslingacademy.com,female,4,False,85,97,64,90,79,81,81,Emily Holloway,82.42857142857143,B,769,History,Physics
42,Jesus,Rasmussen,jesus.rasmussen.42@gslingacademy.com,male,7,False,65,55,66,50,88,56,86,Jesus Rasmussen,66.57142857142857,D,1970,Biology,Chemistry
43,Lauren,Farmer,lauren.farmer.43@gslingacademy.com,female,6,False,93,94,92,77,87,98,63,Lauren Farmer,86.28571428571429,B,353,English,Geography
44,Pamela,Cole,pamela.cole.44@gslingacademy.com,female,4,False,97,99,85,96,91,68,66,Pamela Cole,86.0,B,380,History,Geography
45,David,Gillespie,david.gillespie.45@gslingacademy.com,male,4,False,54,99,79,57,53,95,83,David Gillespie,74.28571428571429,C,1753,History,Biology
46,Kenneth,Davis,kenneth.davis.46@gslingacademy.com,male,5,True,88,53,50,58,84,53,96,Kenneth Davis,68.85714285714286,D,1930,Geography,Physics
47,Elizabeth,Martin,elizabeth.martin.47@gslingacademy.com,female,5,True,71,85,93,68,100,91,87,Elizabeth Martin,85.0,B,465,Biology,Chemistry
48,Billy,Soto,billy.soto.48@gslingacademy.com,male,0,True,81,98,74,70,97,65,65,Billy Soto,78.57142857142857,C,1338,History,English
49,Kimberly,Kelly,kimberly.kelly.49@gslingacademy.com,female,4,False,80,78,86,80,64,68,100,Kimberly Kelly,79.42857142857143,C,1224,Geography,Biology
50,Sonia,Noble,sonia.noble.50@gslingacademy.com,female,0,False,100,89,90,93,30,83,74,Sonia Noble,79.85714285714286,C,1155,Math,Biology
51,Christopher,Stewart,christopher.stewart.51@gslingacademy.com,male,6,True,76,72,96,65,89,87,94,Christopher Stewart,82.71428571428571,B,730,Physics,Chemistry
52,Sandra,Thornton,sandra.thornton.52@gslingacademy.com,female,2,False,99,81,73,70,85,86,61,Sandra Thornton,79.28571428571429,C,1245,Math,Geography
53,Luke,Shannon,luke.shannon.53@gslingacademy.com,male,9,False,64,70,61,81,82,51,70,Luke Shannon,68.42857142857143,D,1938,Biology,English
54,Lindsay,Pruitt,lindsay.pruitt.54@gslingacademy.com,female,3,False,90,96,86,61,89,98,68,Lindsay Pruitt,84.0,B,565,English,Chemistry
55,Jamie,Taylor,jamie.taylor.55@gslingacademy.com,male,2,False,85,100,92,68,60,77,83,Jamie Taylor,80.71428571428571,B,1035,History,Biology
56,Jennifer,Murphy,jennifer.murphy.56@gslingacademy.com,female,6,False,91,60,84,88,76,71,99,Jennifer Murphy,81.28571428571429,B,957,Geography,History
57,Melissa,Lee,melissa.lee.57@gslingacademy.com,female,3,False,95,72,79,86,87,81,62,Melissa Lee,80.28571428571429,B,1099,Math,Geography
58,David,Vaughn,david.vaughn.58@gslingacademy.com,male,2,False,94,78,73,97,67,78,99,David Vaughn,83.71428571428571,B,601,Geography,Biology
59,Jacob,Hanson,jacob.hanson.59@gslingacademy.com,male,7,False,94,89,64,96,91,95,77,Jacob Hanson,86.57142857142857,B,333,Chemistry,Physics
60,Casey,May,casey.may.60@gslingacademy.com,male,4,False,89,99,90,79,85,96,98,Casey May,90.85714285714286,A,124,History,Chemistry
61,Michelle,Roman,michelle.roman.61@gslingacademy.com,female,2,False,91,81,88,71,78,83,76,Michelle Roman,81.14285714285714,B,975,Math,Chemistry
62,Brittany,Koch,brittany.koch.62@gslingacademy.com,female,5,False,83,86,61,99,99,88,73,Brittany Koch,84.14285714285714,B,548,Chemistry,Physics
63,Brian,Lewis,brian.lewis.63@gslingacademy.com,male,7,False,98,65,53,64,52,96,62,Brian Lewis,70.0,C,1911,Math,Biology
64,Veronica,Cameron,veronica.cameron.64@gslingacademy.com,female,1,False,83,97,65,88,67,95,69,Veronica Cameron,80.57142857142857,B,1056,History,Physics
65,Eric,Reyes,eric.reyes.65@gslingacademy.com,male,2,False,91,73,99,70,63,80,78,Eric Reyes,79.14285714285714,C,1264,Physics,Biology
66,Kristy,Weber,kristy.weber.66@gslingacademy.com,female,6,False,90,54,77,74,76,96,88,Kristy Weber,79.28571428571429,C,1245,English,History
67,Anthony,Smith,anthony.smith.67@gslingacademy.com,male,3,False,92,86,66,69,100,71,80,Anthony Smith,80.57142857142857,B,1056,Biology,Physics
68,Steven,Stephens,steven.stephens.68@gslingacademy.com,male,2,False,64,64,73,76,72,97,91,Steven Stephens,76.71428571428571,C,1553,English,Math
69,Henry,Davis,henry.davis.69@gslingacademy.com,male,4,False,90,70,85,60,81,71,88,Henry Davis,77.85714285714286,C,1432,Math,Chemistry
70,Raymond,Shea,raymond.shea.70@gslingacademy.com,male,10,True,99,81,96,69,91,87,83,Raymond Shea,86.57142857142857,B,333,Math,Chemistry
71,Jill,Perez,jill.perez.71@gslingacademy.com,female,1,False,89,66,93,81,86,88,70,Jill Perez,81.85714285714286,B,864,Physics,History
72,Kimberly,Bonilla,kimberly.bonilla.72@gslingacademy.com,female,3,False,62,87,93,83,93,97,73,Kimberly Bonilla,84.0,B,565,English,Math
73,Louis,Edwards,louis.edwards.73@gslingacademy.com,male,10,False,61,70,69,64,59,78,80,Louis Edwards,68.71428571428571,D,1933,Geography,Biology
74,Michael,Hodge,michael.hodge.74@gslingacademy.com,male,8,False,51,54,66,87,99,58,68,Michael Hodge,69.0,D,1927,Biology,Math
75,Anna,Li,anna.li.75@gslingacademy.com,female,2,False,85,100,64,68,73,81,87,Anna Li,79.71428571428571,C,1178,History,Physics
76,Andrea,Case,andrea.case.76@gslingacademy.com,female,7,True,99,90,96,92,100,98,77,Andrea Case,93.14285714285714,A,46,Biology,Geography
77,Jennifer,Garcia,jennifer.garcia.77@gslingacademy.com,female,3,False,87,63,60,90,89,99,80,Jennifer Garcia,81.14285714285714,B,975,English,Physics
78,Rhonda,Davenport,rhonda.davenport.78@gslingacademy.com,female,1,True,75,91,80,93,74,93,65,Rhonda Davenport,81.57142857142857,B,915,Chemistry,Geography
79,Chelsea,Craig,chelsea.craig.79@gslingacademy.com,female,7,False,88,94,80,63,68,77,64,Chelsea Craig,76.28571428571429,C,1595,History,Chemistry
80,Shawn,Chase,shawn.chase.80@gslingacademy.com,male,3,False,87,79,89,68,93,75,92,Shawn Chase,83.28571428571429,B,655,Biology,Chemistry
81,Elizabeth,Calhoun,elizabeth.calhoun.81@gslingacademy.com,female,3,False,87,67,94,92,62,58,65,Elizabeth Calhoun,75.0,C,1704,Physics,English
82,Lisa,Harris,lisa.harris.82@gslingacademy.com,female,1,False,76,67,83,85,91,61,67,Lisa Harris,75.71428571428571,C,1646,Biology,English
83,Carol,Snyder,carol.snyder.83@gslingacademy.com,female,7,False,60,80,61,63,95,92,75,Carol Snyder,75.14285714285714,C,1688,Biology,Math
84,Charles,Butler,charles.butler.84@gslingacademy.com,male,7,False,85,65,99,100,88,93,72,Charles Butler,86.0,B,380,Chemistry,History
85,James,Dawson,james.dawson.85@gslingacademy.com,male,3,False,73,67,70,71,65,73,87,James Dawson,72.28571428571429,C,1848,Geography,Biology
86,Dennis,Kim,dennis.kim.86@gslingacademy.com,male,1,False,85,71,69,80,70,77,66,Dennis Kim,74.0,C,1775,Math,Geography
87,Jennifer,Berry,jennifer.berry.87@gslingacademy.com,female,2,False,91,76,71,72,92,67,90,Jennifer Berry,79.85714285714286,C,1155,Biology,English
88,Yvette,Bridges,yvette.bridges.88@gslingacademy.com,female,3,True,99,95,83,89,81,63,70,Yvette Bridges,82.85714285714286,B,709,Math,English
89,Robert,Atkins,robert.atkins.89@gslingacademy.com,male,3,False,93,96,68,87,69,89,100,Robert Atkins,86.0,B,380,Geography,Physics
90,William,Brown,william.brown.90@gslingacademy.com,male,3,False,89,75,60,80,62,85,73,William Brown,74.85714285714286,C,1715,Math,Physics
91,Patrick,Parker,patrick.parker.91@gslingacademy.com,male,0,False,95,78,95,73,32,65,68,Patrick Parker,72.28571428571429,C,1848,Math,Biology
92,James,Santiago,james.santiago.92@gslingacademy.com,male,4,False,68,82,95,63,62,98,93,James Santiago,80.14285714285714,B,1120,English,Biology
93,Robert,Parsons,robert.parsons.93@gslingacademy.com,male,5,False,98,73,73,77,87,98,83,Robert Parsons,84.14285714285714,B,548,Math,History
94,Jacob,Brown,jacob.brown.94@gslingacademy.com,male,4,False,79,92,79,76,84,67,86,Jacob Brown,80.42857142857143,B,1077,History,English
95,Natalie,Robinson,natalie.robinson.95@gslingacademy.com,female,5,False,78,79,73,96,64,93,85,Natalie Robinson,81.14285714285714,B,975,Chemistry,Biology
96,Victoria,Jones,victoria.jones.96@gslingacademy.com,female,2,True,100,98,89,85,81,64,94,Victoria Jones,87.28571428571429,B,291,Math,English
97,Natasha,Hansen,natasha.hansen.97@gslingacademy.com,female,3,True,86,76,84,93,76,69,91,Natasha Hansen,82.14285714285714,B,807,Chemistry,English
98,Thomas,White,thomas.white.98@gslingacademy.com,male,3,False,87,89,93,98,79,72,88,Thomas White,86.57142857142857,B,333,Chemistry,English
99,Derrick,Figueroa,derrick.figueroa.99@gslingacademy.com,male,0,False,100,93,85,61,96,83,86,Derrick Figueroa,86.28571428571429,B,353,Math,Chemistry
100,Kimberly,Ward,kimberly.ward.100@gslingacademy.com,female,0,False,85,89,94,69,99,93,98,Kimberly Ward,89.57142857142857,B,168,Biology,Chemistry
101,Rhonda,Jones,rhonda.jones.101@gslingacademy.com,female,2,False,87,73,98,91,79,60,77,Rhonda Jones,80.71428571428571,B,1035,Physics,English
102,Abigail,Perez,abigail.perez.102@gslingacademy.com,female,2,False,96,80,100,61,81,98,65,Abigail Perez,83.0,B,688,Physics,Chemistry
103,James,Yang,james.yang.103@gslingacademy.com,male,5,False,76,87,64,74,73,90,99,James Yang,80.42857142857143,B,1077,Geography,Physics
104,Stephen,Patton,stephen.patton.104@gslingacademy.com,male,6,False,90,80,63,94,64,70,79,Stephen Patton,77.14285714285714,C,1513,Chemistry,Physics
105,Emma,Wright,emma.wright.105@gslingacademy.com,female,7,False,65,60,100,91,87,78,99,Emma Wright,82.85714285714286,B,709,Physics,History
106,Cynthia,Brown,cynthia.brown.106@gslingacademy.com,female,2,False,98,97,62,89,62,95,77,Cynthia Brown,82.85714285714286,B,709,Math,Physics
107,Erin,Kelley,erin.kelley.107@gslingacademy.com,female,3,False,91,80,97,89,94,95,84,Erin Kelley,90.0,A,154,Physics,History
108,Benjamin,Morse,benjamin.morse.108@gslingacademy.com,male,3,True,86,81,83,81,81,77,86,Benjamin Morse,82.14285714285714,B,807,Math,English
109,Alexandra,Gibson,alexandra.gibson.109@gslingacademy.com,female,1,False,91,93,72,61,61,87,95,Alexandra Gibson,80.0,B,1134,Geography,Chemistry
110,Phillip,Allen,phillip.allen.110@gslingacademy.com,male,5,True,78,69,82,60,64,77,82,Phillip Allen,73.14285714285714,C,1815,Physics,Chemistry
111,Joshua,Gonzalez,joshua.gonzalez.111@gslingacademy.com,male,4,False,76,89,89,83,89,90,64,Joshua Gonzalez,82.85714285714286,B,709,English,Geography
112,Erin,Jones,erin.jones.112@gslingacademy.com,female,9,False,82,54,85,57,50,54,76,Erin Jones,65.42857142857143,D,1983,Physics,Biology
113,Charles,Hayes,charles.hayes.113@gslingacademy.com,male,2,True,45,85,94,76,57,93,86,Charles Hayes,76.57142857142857,C,1567,Physics,Math
114,Kelsey,Brown,kelsey.brown.114@gslingacademy.com,female,1,False,92,75,65,97,61,76,81,Kelsey Brown,78.14285714285714,C,1388,Chemistry,Biology
115,Robert,Turner,robert.turner.115@gslingacademy.com,male,6,True,43,65,91,75,64,94,100,Robert Turner,76.0,C,1622,Geography,Math
116,Robert,Hill,robert.hill.116@gslingacademy.com,male,2,False,96,66,69,65,72,84,77,Robert Hill,75.57142857142857,C,1664,Math,Chemistry
117,Alyssa,Ritter,alyssa.ritter.117@gslingacademy.com,female,6,False,78,71,50,55,54,97,95,Alyssa Ritter,71.42857142857143,C,1875,English,Physics
118,Beth,Bell,beth.bell.118@gslingacademy.com,female,1,False,68,96,64,70,74,63,75,Beth Bell,72.85714285714286,C,1828,History,English
119,Andrew,Dixon,andrew.dixon.119@gslingacademy.com,male,1,True,93,73,94,65,60,63,93,Andrew Dixon,77.28571428571429,C,1493,Physics,Biology
120,Crystal,Walker,crystal.walker.120@gslingacademy.com,female,6,False,55,93,67,74,55,60,64,Crystal Walker,66.85714285714286,D,1965,History,Math
121,Jordan,Bennett,jordan.bennett.121@gslingacademy.com,female,0,False,66,90,83,80,76,90,91,Jordan Bennett,82.28571428571429,B,789,Geography,Math
122,Antonio,Caldwell,antonio.caldwell.122@gslingacademy.com,male,4,False,98,92,91,99,97,88,75,Antonio Caldwell,91.42857142857143,A,98,Chemistry,Geography
123,Jacob,Reyes,jacob.reyes.123@gslingacademy.com,male,4,False,94,94,94,89,85,86,85,Jacob Reyes,89.57142857142857,B,168,Math,Biology
124,Wendy,Lewis,wendy.lewis.124@gslingacademy.com,female,3,False,96,100,96,91,91,96,89,Wendy Lewis,94.14285714285714,A,21,History,Geography
125,Jennifer,Miller,jennifer.miller.125@gslingacademy.com,female,2,False,69,62,82,89,81,72,71,Jennifer Miller,75.14285714285714,C,1688,Chemistry,History
126,Lisa,Ware,lisa.ware.126@gslingacademy.com,female,4,False,77,95,98,69,60,89,71,Lisa Ware,79.85714285714286,C,1155,Physics,Biology
127,Brian,Lee,brian.lee.127@gslingacademy.com,male,1,False,89,67,86,87,87,68,78,Brian Lee,80.28571428571429,B,1099,Math,History
128,Mario,Taylor,mario.taylor.128@gslingacademy.com,male,4,True,96,67,80,83,86,77,75,Mario Taylor,80.57142857142857,B,1056,Math,History
129,Amanda,Williamson,amanda.williamson.129@gslingacademy.com,female,4,False,82,70,80,70,96,69,86,Amanda Williamson,79.0,C,1284,Biology,English
130,Michael,Miller,michael.miller.130@gslingacademy.com,male,6,True,99,97,64,90,87,68,69,Michael Miller,82.0,B,832,Math,Physics
131,Amanda,Vasquez,amanda.vasquez.131@gslingacademy.com,female,5,False,96,73,90,85,63,84,87,Amanda Vasquez,82.57142857142857,B,752,Math,Biology
132,Chelsea,Obrien,chelsea.obrien.132@gslingacademy.com,female,4,False,95,82,66,63,67,92,69,Chelsea Obrien,76.28571428571429,C,1595,Math,Chemistry
133,Tina,Perkins,tina.perkins.133@gslingacademy.com,female,4,False,90,63,69,80,99,69,79,Tina Perkins,78.42857142857143,C,1355,Biology,History
134,Cory,Perez,cory.perez.134@gslingacademy.com,male,6,False,88,52,53,56,85,93,78,Cory Perez,72.14285714285714,C,1854,English,History
135,Christopher,Jenkins,christopher.jenkins.135@gslingacademy.com,male,1,False,87,62,87,96,85,90,74,Christopher Jenkins,83.0,B,688,Chemistry,History
136,Joanne,Campos,joanne.campos.136@gslingacademy.com,female,2,False,62,83,84,75,83,85,86,Joanne Campos,79.71428571428571,C,1178,Geography,Math
137,David,Patel,david.patel.137@gslingacademy.com,male,2,False,85,65,60,78,81,96,76,David Patel,77.28571428571429,C,1493,English,Physics
138,Michelle,Hill,michelle.hill.138@gslingacademy.com,female,1,True,79,97,76,67,61,90,95,Michelle Hill,80.71428571428571,B,1035,History,Biology
139,Jessica,Boyd,jessica.boyd.139@gslingacademy.com,female,4,False,90,94,98,96,68,82,81,Jessica Boyd,87.0,B,309,Physics,Biology
140,Lawrence,Russell,lawrence.russell.140@gslingacademy.com,male,2,False,97,71,82,80,97,93,78,Lawrence Russell,85.42857142857143,B,436,Math,History
141,James,Singh,james.singh.141@gslingacademy.com,male,0,False,88,69,87,81,77,67,93,James Singh,80.28571428571429,B,1099,Geography,English
142,Marc,Villanueva,marc.villanueva.142@gslingacademy.com,male,2,True,71,85,77,89,98,63,100,Marc Villanueva,83.28571428571429,B,655,Geography,English
143,Cathy,Wilson,cathy.wilson.143@gslingacademy.com,female,1,False,70,99,79,96,60,97,100,Cathy Wilson,85.85714285714286,B,394,Geography,Biology
144,Adam,Mitchell,adam.mitchell.144@gslingacademy.com,male,3,True,93,68,76,99,80,80,75,Adam Mitchell,81.57142857142857,B,915,Chemistry,History
145,Sherry,Phillips,sherry.phillips.145@gslingacademy.com,female,0,False,92,79,81,61,86,72,88,Sherry Phillips,79.85714285714286,C,1155,Math,Chemistry
146,Victor,Jones,victor.jones.146@gslingacademy.com,male,3,False,83,72,68,94,100,98,92,Victor Jones,86.71428571428571,B,325,Biology,Physics
147,Mark,Young,mark.young.147@gslingacademy.com,male,8,False,68,97,51,93,68,58,78,Mark Young,73.28571428571429,C,1810,History,Physics
148,Matthew,Jackson,matthew.jackson.148@gslingacademy.com,male,0,False,92,90,65,79,96,87,74,Matthew Jackson,83.28571428571429,B,655,Biology,Physics
149,Tanya,Nichols,tanya.nichols.149@gslingacademy.com,female,4,True,69,91,82,99,94,75,74,Tanya Nichols,83.42857142857143,B,635,Chemistry,Math
150,Julie,Gray,julie.gray.150@gslingacademy.com,female,5,False,76,72,72,65,82,71,93,Julie Gray,75.85714285714286,C,1637,Geography,Chemistry
151,Courtney,Perry,courtney.perry.151@gslingacademy.com,female,3,False,86,92,79,73,73,61,60,Courtney Perry,74.85714285714286,C,1715,History,Geography
152,Stephen,Rodriguez,stephen.rodriguez.152@gslingacademy.com,male,10,False,41,57,97,56,50,98,83,Stephen Rodriguez,68.85714285714286,D,1930,English,Math
153,Elizabeth,Robinson,elizabeth.robinson.153@gslingacademy.com,female,5,False,91,100,84,72,84,90,82,Elizabeth Robinson,86.14285714285714,B,370,History,Chemistry
154,William,Graves,william.graves.154@gslingacademy.com,male,0,False,78,67,82,70,65,68,81,William Graves,73.0,C,1823,Physics,Biology
155,Nancy,Moore,nancy.moore.155@gslingacademy.com,female,1,False,89,73,85,84,73,81,98,Nancy Moore,83.28571428571429,B,655,Geography,History
156,Matthew,Newman,matthew.newman.156@gslingacademy.com,male,0,True,96,71,88,74,80,92,65,Matthew Newman,80.85714285714286,B,1019,Math,Geography
157,Anita,Moore,anita.moore.157@gslingacademy.com,female,0,True,66,99,85,90,76,64,95,Anita Moore,82.14285714285714,B,807,History,English
158,Brian,Sanchez,brian.sanchez.158@gslingacademy.com,male,8,False,97,54,62,66,58,69,96,Brian Sanchez,71.71428571428571,C,1866,Math,History
159,Dennis,Phillips,dennis.phillips.159@gslingacademy.com,male,7,True,49,64,97,61,62,72,65,Dennis Phillips,67.14285714285714,D,1961,Physics,Math
160,Michael,Rivas,michael.rivas.160@gslingacademy.com,male,4,True,88,66,96,82,65,76,79,Michael Rivas,78.85714285714286,C,1306,Physics,Biology
161,Ryan,Smith,ryan.smith.161@gslingacademy.com,male,1,False,92,64,77,61,76,72,87,Ryan Smith,75.57142857142857,C,1664,Math,Chemistry
162,Anthony,Sullivan,anthony.sullivan.162@gslingacademy.com,male,3,False,96,66,92,88,65,76,72,Anthony Sullivan,79.28571428571429,C,1245,Math,Biology
163,Troy,Shepherd,troy.shepherd.163@gslingacademy.com,male,4,False,86,88,99,79,93,97,91,Troy Shepherd,90.42857142857143,A,137,Physics,Chemistry
164,Nicholas,Clayton,nicholas.clayton.164@gslingacademy.com,male,1,True,86,100,100,96,95,97,93,Nicholas Clayton,95.28571428571429,A,6,History,Math
165,Denise,Schneider,denise.schneider.165@gslingacademy.com,female,1,False,88,72,96,60,90,80,88,Denise Schneider,82.0,B,832,Physics,Chemistry
166,Lisa,Silva,lisa.silva.166@gslingacademy.com,female,2,False,92,81,99,98,77,80,73,Lisa Silva,85.71428571428571,B,406,Physics,Geography
167,Laura,Reilly,laura.reilly.167@gslingacademy.com,female,7,False,87,76,71,65,64,81,61,Laura Reilly,72.14285714285714,C,1854,Math,Geography
168,Amy,Peterson,amy.peterson.168@gslingacademy.com,female,5,False,89,94,67,68,69,92,76,Amy Peterson,79.28571428571429,C,1245,History,Physics
169,Fernando,Sexton,fernando.sexton.169@gslingacademy.com,male,1,False,97,96,66,96,71,97,66,Fernando Sexton,84.14285714285714,B,548,Math,Physics
170,Evan,Christian,evan.christian.170@gslingacademy.com,male,4,True,100,62,67,97,73,84,99,Evan Christian,83.14285714285714,B,670,Math,History
171,Rebecca,Norris,rebecca.norris.171@gslingacademy.com,female,1,False,91,98,76,99,65,98,71,Rebecca Norris,85.42857142857143,B,436,Chemistry,Biology
172,Erica,Marks,erica.marks.172@gslingacademy.com,female,4,False,81,87,65,85,74,64,81,Erica Marks,76.71428571428571,C,1553,History,English
173,Rhonda,Webster,rhonda.webster.173@gslingacademy.com,female,5,True,82,66,89,76,68,83,79,Rhonda Webster,77.57142857142857,C,1464,Physics,History
174,John,Bennett,john.bennett.174@gslingacademy.com,male,1,False,100,96,75,68,77,97,81,John Bennett,84.85714285714286,B,479,Math,Chemistry
175,Amanda,Murphy,amanda.murphy.175@gslingacademy.com,female,10,True,65,100,80,83,57,81,81,Amanda Murphy,78.14285714285714,C,1388,History,Biology
176,Jeremy,Barnes,jeremy.barnes.176@gslingacademy.com,male,2,False,68,100,89,75,84,78,90,Jeremy Barnes,83.42857142857143,B,635,History,Math
177,John,Brown,john.brown.177@gslingacademy.com,male,3,False,97,92,95,75,95,90,83,John Brown,89.57142857142857,B,168,Math,Chemistry
178,Traci,Boyd,traci.boyd.178@gslingacademy.com,female,3,False,76,94,77,88,85,91,61,Traci Boyd,81.71428571428571,B,890,History,Geography
179,Elizabeth,Butler,elizabeth.butler.179@gslingacademy.com,female,5,False,91,99,94,94,95,98,89,Elizabeth Butler,94.28571428571429,A,17,History,Geography
